name,price,change_24h,market_cap,timestamp
BNB BNB,$841.53,2.68%,"$115,917,560,633",2025-11-23 12:06:19.196972
USDC USDC,$0.9998,0.00%,"$73,981,545,917",2025-11-23 12:06:19.196972
Solana SOL,$129.87,3.17%,"$72,615,500,233",2025-11-23 12:06:19.196972
TRON TRX,$0.2745,0.26%,"$25,997,834,162",2025-11-23 12:06:19.196972
Dogecoin DOGE,$0.1437,5.21%,"$21,832,633,686",2025-11-23 12:06:19.196972
Cardano ADA,$0.4092,2.75%,"$14,689,340,739",2025-11-23 12:06:19.196972
Bitcoin Cash BCH,$551.84,2.56%,"$11,013,383,312",2025-11-23 12:06:19.196972
Hyperliquid HYPE,$31.43,4.30%,"$10,583,402,012",2025-11-23 12:06:19.196972
Zcash ZEC,$570.46,11.81%,"$9,312,782,330",2025-11-23 12:06:19.196972
UNUS SED LEO LEO,$9.47,0.42%,"$8,738,069,980",2025-11-23 12:06:19.196972
Bitcoin BTC,"$85,968.44",2.75%,"$1,716,152,817,048",2025-11-23 12:06:31.395847
Ethereum ETH,"$2,804.87",3.45%,"$338,724,578,254",2025-11-23 12:06:31.395847
Tether USDT,$0.9996,0.02%,"$184,409,833,607",2025-11-23 12:06:31.395847
XRP XRP,$2.03,7.07%,"$122,673,935,632",2025-11-23 12:06:31.395847
BNB BNB,$841.53,2.68%,"$115,917,560,633",2025-11-23 12:06:31.395847
USDC USDC,$0.9998,0.00%,"$73,981,545,917",2025-11-23 12:06:31.395847
Solana SOL,$129.87,3.17%,"$72,615,500,233",2025-11-23 12:06:31.395847
TRON TRX,$0.2745,0.26%,"$25,997,834,162",2025-11-23 12:06:31.395847
Dogecoin DOGE,$0.1437,5.21%,"$21,832,633,686",2025-11-23 12:06:31.395847
Cardano ADA,$0.4092,2.75%,"$14,689,340,739",2025-11-23 12:06:31.395847
Bitcoin Cash BCH,$551.84,2.56%,"$11,013,383,312",2025-11-23 12:06:31.395847
Hyperliquid HYPE,$31.43,4.30%,"$10,583,402,012",2025-11-23 12:06:31.395847
Zcash ZEC,$570.46,11.81%,"$9,312,782,330",2025-11-23 12:06:31.395847
UNUS SED LEO LEO,$9.47,0.42%,"$8,738,069,980",2025-11-23 12:06:31.395847
Bitcoin BTC,"$85,968.44",2.75%,"$1,716,152,817,048",2025-11-23 12:06:39.367900
Ethereum ETH,"$2,804.87",3.45%,"$338,724,578,254",2025-11-23 12:06:39.367900
Tether USDT,$0.9996,0.02%,"$184,409,833,607",2025-11-23 12:06:39.367900
XRP XRP,$2.03,7.07%,"$122,673,935,632",2025-11-23 12:06:39.367900
BNB BNB,$841.53,2.68%,"$115,917,560,633",2025-11-23 12:06:39.367900
USDC USDC,$0.9998,0.00%,"$73,981,545,917",2025-11-23 12:06:39.367900
Solana SOL,$129.87,3.17%,"$72,615,500,233",2025-11-23 12:06:39.367900
TRON TRX,$0.2745,0.26%,"$25,997,834,162",2025-11-23 12:06:39.367900
Dogecoin DOGE,$0.1437,5.21%,"$21,832,633,686",2025-11-23 12:06:39.367900
Cardano ADA,$0.4092,2.75%,"$14,689,340,739",2025-11-23 12:06:39.367900
Bitcoin Cash BCH,$551.84,2.56%,"$11,013,383,312",2025-11-23 12:06:39.367900
Hyperliquid HYPE,$31.43,4.30%,"$10,583,402,012",2025-11-23 12:06:39.367900
Zcash ZEC,$570.46,11.81%,"$9,312,782,330",2025-11-23 12:06:39.367900
UNUS SED LEO LEO,$9.47,0.42%,"$8,738,069,980",2025-11-23 12:06:39.367900
Bitcoin BTC,"$85,968.44",2.75%,"$1,716,152,817,048",2025-11-23 12:06:57.361632
Ethereum ETH,"$2,804.87",3.45%,"$338,724,578,254",2025-11-23 12:06:57.361632
Tether USDT,$0.9996,0.02%,"$184,409,833,607",2025-11-23 12:06:57.361632
XRP XRP,$2.03,7.07%,"$122,673,935,632",2025-11-23 12:06:57.361632
BNB BNB,$841.53,2.68%,"$115,917,560,633",2025-11-23 12:06:57.361632
USDC USDC,$0.9998,0.00%,"$73,981,545,917",2025-11-23 12:06:57.361632
Solana SOL,$129.87,3.17%,"$72,615,500,233",2025-11-23 12:06:57.361632
TRON TRX,$0.2745,0.26%,"$25,997,834,162",2025-11-23 12:06:57.361632
Dogecoin DOGE,$0.1437,5.21%,"$21,832,633,686",2025-11-23 12:06:57.361632
Cardano ADA,$0.4092,2.75%,"$14,689,340,739",2025-11-23 12:06:57.361632
Bitcoin Cash BCH,$551.84,2.56%,"$11,013,383,312",2025-11-23 12:06:57.361632
Hyperliquid HYPE,$31.43,4.30%,"$10,583,402,012",2025-11-23 12:06:57.361632
Zcash ZEC,$570.46,11.81%,"$9,312,782,330",2025-11-23 12:06:57.361632
UNUS SED LEO LEO,$9.47,0.42%,"$8,738,069,980",2025-11-23 12:06:57.361632
